在访问印度期间他在新德里人居中心演出	1	印度	3	5
性别重新分配手术自1930年代开始实施1965年开始在美国实施	1	美国	27	29
他于1343年成为西西里岛的总理并于1353年和1358年分别成为教皇英诺森六世驻多芬和德国的公使	1	西西里岛	9	13
20世纪30年代中后期随着西班牙内战和奥斯瓦尔德·莫斯利的黑衫军穿过伦敦东区的犹太人盖托纳特和他的许多同时代人选择加入英国军队	1	伦敦	34	36
据印度铁路公司统计这是印度最好的订票站之一	1	印度	1	3
她是第一个通过纽约港埃利斯岛设施来到美国的移民	1	埃利斯岛	10	14
他在1948年伦敦夏季奥运会上获得了个人短跑项目的金牌	1	伦敦	7	9
Marcelle Auclair于1899年11月11日出生于法国中部的Montluçon于1984年6月6日在巴黎去世	1	法国	31	33
有一段时间该中队在英国皇家空军威克进行了一次独立飞行使用德哈维兰DH定期飞往冰岛的雷克雅未克91架信天翁飞机但当两架飞机都丢失时这架飞机就被放弃了这架独立的飞机取而代之的是德哈维兰自治领该自治领被用来为苏格兰偏远的社区提供物资	1	雷克雅未克	41	46
这一成绩使他有资格参加2010年新加坡夏季青年奥运会	1	新加坡	16	19
他在他的国家（委内瑞拉）开始他的音乐研究并继续在德国和波兰在欧洲莫扎特学院	1	波兰	27	29
以巴黎为例市区被划分为大约420个不同的社区（几乎相当于整个比利时）	1	巴黎	1	3
在希腊和塞浦路斯芝麻糖被称为pasteli通常是一种扁平的长方形糖块由蜂蜜制成通常包括坚果	1	希腊	1	3
这座桥将滑铁卢连接到雷丁线所有的列车都在这条支线上运行韦布里奇或切特西支线将这条线路连接到从伦敦滑铁卢到远西南的四轨西南干线与德文郡和康沃尔郡的干线汇合	1	滑铁卢	4	7
豪是美国内布拉斯加州内马哈县的一个非法人社区	1	豪	0	1
最初这所学校的建立是为了为在塞舌尔临时合同工作的外籍人员的子女提供英式教育	1	塞舌尔	14	17
从国家戏剧学校毕业后他和妻子在北爱尔兰和爱尔兰共和国的戏剧公司实习了一年	1	爱尔兰共和国	20	26
弯叶金合欢俗称弯叶金合欢是澳大利亚东部特有的灌木物种	1	澳大利亚	13	17
此后叙利亚仍然是倭玛亚人的主要权力基地大马士革是他们的首都	1	叙利亚	2	5
大多数南部非洲进出口商品通过南非六大港口进行处理：理查兹湾、德班、萨尔达尼亚、开普敦、伊丽莎白港和东伦敦	1	南非	14	16
马修斯在澳大利亚境外的学习获得了一些支持	1	澳大利亚	4	8
它起源于20世纪40年代中期的乌拉圭和阿根廷具有明显的简单性和含蓄性的特点这些特点往往是不可预见的而且是绝对涉及的	1	阿根廷	19	22
何塞·弗朗西斯科·拉扎诺1887年2月25日出生于蒙得维的亚独立广场附近	1	独立广场	30	34
1964年至1966年他在黎巴嫩贝鲁特发表了关于生活中伊拉克库尔德人、《星期日泰晤士报》、《地理杂志》等主题的照片和文章	1	贝鲁特	16	19
弗朗哥·福里尼（1958年9月22日出生于穆拉尔托）是来自瑞士的前赛车手	1	瑞士	29	31
它是罗马尼亚第三高峰仅次于Moldoveanu峰（2544米）和Negoiu峰（2535米）	1	罗马尼亚	2	6
索尼于1992年9月宣布推出MiniDisc并于11月在日本发售12月在欧洲、加拿大、美国和其他国家发售	1	日本	28	30
他还于1939年在开罗获得团体冠军	1	开罗	9	11
美国自由撰稿人威廉·内森（William Nessen）前往印度尼西亚亚齐报道当时发生的冲突	1	亚齐	35	37
她是自15世纪中期以来第一位加冕的神圣罗马皇后负责将皇室从布拉格迁往维也纳成为欧洲文化中心之一	1	维也纳	34	37
他的父亲约翰·伯德是一位伦敦金匠祖籍英国柴郡	1	伦敦	12	14
她是德国最早建造的机车之一	1	德国	2	4
在完成第二版后他移民到澳大利亚一直呆到1969年	1	澳大利亚	11	15
1991年尼泊尔人口普查时该村人口2891人拥有530所房屋	1	尼泊尔	5	8
Amalia写了一本歌曲书目前在柏林的德国国家图书馆找到在法兰克福公共图书馆和法兰克福大学图书馆也有副本	1	法兰克福	29	33
他出生于萨福克州的兰瑟姆是安德鲁·里奇牧师的儿子在伦敦大学学院接受教育	1	伦敦	25	27
1619年去罗马旅行时他也会受到卡拉瓦乔及其追随者的影响	1	罗马	6	8
朝鲜战争期间他在美国军队服役	1	美国	8	10
这种海洋物种出现在哥伦比亚附近的加勒比海	1	哥伦比亚	9	13
他们的同名首张专辑在英国、澳大利亚和新西兰都留下了深刻的印象	1	英国	10	12
哈佛学校（前哈佛西湖）是以伦敦市南威克区的约翰·哈佛命名的	1	伦敦	13	15
Detremmerie出生于穆斯克龙这是一个传统上讲法语的纺织制造小镇位于被占领比利时西部南临法国边境北临荷兰语边境	1	法国	47	49
勇士希望是美国的一个全国性非营利组织为战斗中受伤的军人及其家属和阵亡者家属提供援助	1	美国	5	7
1978年它开始在法国销售面向血栓事件高危患者：术后心脏病患者、接受血液透析的患者、外周血管疾病患者以及预防中风和缺血性心脏病患者	1	法国	9	11
1956年11月出生于澳大利亚的德莱西自1979以来一直是香港广播业的一部分	1	香港	29	31
叙利亚战争前霍姆斯是一个主要的工业中心2004年人口至少为652609人是叙利亚第三大城市北部仅次于阿勒颇南部仅次于首都大马士革	1	霍姆斯	6	9
在安提瓜和巴布达同性性行为是非法的	1	安提瓜	1	4
喀拉拉艾耶尔人像泰米尔纳德邦的艾耶尔人和喀拉拉邦的楠布迪里斯人一样属于印度婆罗门社区的潘查德拉维达分类	1	印度	35	37
纽约州50号公路（NY 50）是31号公路美国纽约州首府区67英里（5097公里）的州际公路	1	美国	21	23
斯蒂芬·帕克（生于1950年）是新西兰物理学家	1	新西兰	16	19
在孟加拉国它被称为Ilisha Chandana其商业重要性不如T伊利沙	1	孟加拉国	1	5
有来自乌克兰不同地区的代表	1	乌克兰	3	6
定居点内的教区教堂致力于圣母升天属于罗马天主教卢布尔雅那大主教区	1	卢布尔雅那	23	28
从19世纪开始它是赫尔马诺斯宗教活动的中心以起源于西班牙的习俗为基础	1	西班牙	25	28
乌干达的60个自然保护区藏有大量极度濒危物种	1	乌干达	0	3
她目前住在古里的阿丘伊村在喧嚣的首尔城外	1	首尔	16	18
奥古斯特王子在斯德哥尔摩皇宫死于肺炎享年41岁	1	斯德哥尔摩皇宫	7	14
博物馆的第一个长夜于1997年在柏林举行	1	柏林	16	18
Riverland足球联盟是一个澳大利亚规则足球联盟位于南澳大利亚的Riverland地区	1	南澳大利亚	28	33
1945年在导致巴顿死亡的车祸发生后应巴顿妻子的请求他在回家途中被传唤回法国参加巴顿将军的葬礼	1	法国	36	38
南部与巴西接壤北部与大西洋海岸接壤	1	巴西	3	5
气候变化对澳大利亚的影响将是复杂的在某种程度上是不确定的但提高远见可能使该国能够通过有计划的缓解和适应来保护其未来	1	澳大利亚	5	9
它在缅甸被称为Daungdana在柬埔寨被称为Trey Palung在马哈拉施特拉邦被称为Bhing在古吉拉特邦被称为Palwa在斯里兰卡被称为Seriya	1	马哈拉施特拉邦	35	42
叙利亚位于中东位于地中海的东端	1	地中海	9	12
1772年以前该地区是波兰、普鲁士和德国王国的一部分	1	德国	18	20
50年代经意大利移民巴西后他在里约热内卢定居	1	巴西	10	12
伯恩赛德是新西兰克赖斯特彻奇的郊区位于克赖斯特彻奇国际机场东南部	1	伯恩赛德	0	4
四岁时她和母亲、兄弟姐妹一起离开智利前往澳大利亚	1	澳大利亚	20	24
随后他被调到第三两栖兵团为有计划的侵略日本做准备	1	日本	19	21
古利安出生于亚美尼亚西部的马拉什当时是奥斯曼帝国的一部分年轻时移民到美国在马萨诸塞州的牛顿长大	1	美国	34	36
这一概念受到了广泛的欢迎自那时以来参与机构和展览的数量急剧增加遍及欧洲其他120多个城市以及阿根廷和菲律宾的其他地方	1	欧洲	33	35
Ruffus是来自爱沙尼亚的独立摇滚乐队最初被称为Claire的生日	1	爱沙尼亚	9	13
他是索马里渔业和海洋资源部长于2015年1月27日由总理奥马尔·阿卜杜拉希德·阿里·沙马克任命	1	索马里	2	5
菲律宾运动员共获得7枚奖牌排名第21位与叙利亚并列奖牌榜	1	菲律宾	0	3
2006年6月28日托科的原声带在日本各地的商店中发行作为其与托科电视连续剧发行的一部分	1	日本	17	19
在德国占领挪威期间他于1942年1月13日至21日被关押在格里尼集中营	1	挪威	5	7
理查德·TMcCrea和William AsSarjeant发表了一篇论文描述了加拿大阿尔伯塔省盖茨组的新鸟类和哺乳动物ichnotaxa	1	加拿大	40	43
2002年达特桑一家与墨尔本乐队“标本”和“卡萨诺瓦斯”在澳大利亚巡回演出并在PBS电台现场直播	1	澳大利亚	29	33
Sarah Culberson（生于1976年）是一位门德血统的美国混血妇女父亲来自塞拉利昂	1	塞拉利昂	42	46
当时一些居民离开村庄前往乌克兰	1	乌克兰	12	15
Sahamalaza运动狐猴（Lepilemur sahamalazensis）是马达加斯加特有的运动狐猴	1	马达加斯加	41	46
叙利亚的人口反映了叙利亚普遍的宗教多样性包括逊尼派、阿拉维派和基督教徒	1	叙利亚	0	3
1969回到旧金山后卡特转向了长期项目	1	旧金山	6	9
詹姆斯·科尔曼（1968年11月16日出生）是新西兰电视节目主持人、电台主持人和演员	1	新西兰	23	26
它从俄罗斯东部到古北极生态区的东部被发现	1	古北极生态区	8	14
由于人口的增长美国的大都市区将继续扩大	1	美国	7	9
该种的类型分布在南非	1	南非	8	10
Xan Fielding出生于印度的Ootacamund他的父亲亚历山大·詹姆斯·卢姆登·华莱士（Alexander James Lumsden Wallace）曾在印度陆军服役是第52锡克（边防部队）的少校	1	印度	15	17
马格德堡足球俱乐部的赛季是俱乐部在东德顶级足球比赛DDROberliga中的第一个赛季由于在1959年DDRLiga中获得第二名而获得晋升	1	东德	17	19
苏里南的许多巴西人（如果不是大多数的话）在阿尔比纳镇（Albina）从事小型金矿开采工作阿尔比纳镇已成为游牧金矿勘探者的主要基地	1	阿尔比纳	21	25
最后他在1963年至1966年期间担任挪威驻美国大使	1	美国	22	24
国际开发协会（IDA）最近的一项调查（大约2006年）表明可以做更多的工作来帮助新加坡的中小型企业（SME）利用infocomm技术的力量	1	新加坡	40	43
在麦克斯韦的丈夫蒂姆·麦克斯韦在伊拉克受伤并遭受创伤性脑损伤（TBI）后他们决定成立一个宣传小组	1	伊拉克	16	19
美国生产了5000多台日本仍在生产较老的“经典”机型	1	日本	11	13
他还安排将撤离后留下的数百名盟军士兵运送到埃及这些士兵现在被克里特人隐藏起来	1	埃及	21	23
他在印度和国外广泛旅行寻找野生动物摄影	1	印度	2	4
196669年间他从伦敦自由撰稿为《纽约时报》、《女装日报》和环球航空公司的年度报告做任务	1	伦敦	10	12
该大学的金融课程于20世纪90年代在法国大型银行的支持下启动旨在让学生为金融机构交易部门的中层和后台职位做好准备	1	法国	18	20
米尔纳是澳大利亚北部地区立法议会的选举部门	1	澳大利亚	4	8
肖丹在西班牙港对西印度群岛的第一场比赛中以45分和11分获胜	1	西班牙港	3	7
拉钦是德国巴伐利亚州Unterallgäu区的一个自治市	1	Unterallgäu	10	21
它向俄罗斯、乌克兰、亚美尼亚、阿塞拜疆、塔吉克斯坦、阿富汗、以色列和印度派遣传教士	1	阿塞拜疆	15	19
他的学生中有萝拉·莫拉和维克托·德波尔他们都在布宜诺斯艾利斯开展了重要的公共工作	1	布宜诺斯艾利斯	23	30
它是传统的上卡尼奥拉地区的一部分现在被纳入斯洛文尼亚中部统计区的其他市镇	1	上卡尼奥拉	5	10
该队刚刚参加了韩国水原杯比赛分别以10输给乌拉圭和韩国43击败尼日利亚	1	韩国	7	9
此外她还是罗马的保护女神和城市神圣名称的守护者这一名称可能不会发音以免向她的敌人透露	1	罗马	5	7
在美国接受教育和职业培训后s在德国奥托克埃特尔在纽约时代广场的阿斯特酒店担任志愿者该酒店于同年由德国移民威廉C马斯切海姆（18551918）和弗雷德里克A马斯切海姆他的叔叔马克斯·艾特尔也曾在19041906年志愿服务	1	纽约	24	26
King Living品牌于1977年在悉尼成立目前在澳大利亚有14个展厅在新西兰和新加坡也有国际展厅	1	悉尼	20	22
从1863年到1864年他在爱丁堡学习后来在哥本哈根（1864年）、德国（1869年）和斯德哥尔摩（1879年）学习	1	斯德哥尔摩	44	49
他于2011年叛逃到墨西哥	1	墨西哥	10	13
成员是洛杉矶鼓手史蒂夫·杨后来贝斯手马克·西奇威克在英国加入	1	洛杉矶	3	6
1945年以前该地区是德国（东普鲁士）的一部分	1	德国	11	13
所有启动时间均列为莫斯科当地时间（UTC4）	1	莫斯科	9	12
泽特勒生于荷兰鹿特丹1848年移居威斯康星州密尔沃基	1	鹿特丹	7	10
下鳃蛙是一种小叶蛙发现于哥斯达黎加和美国南部之间的美洲	1	哥斯达黎加	12	17
在瑞士大多数凶杀案都被认为是谋杀刑罚从5年到20年不等	1	瑞士	1	3
1972年皮罗斯由来自社区的青少年和从越南回来的年轻黑人创造	1	越南	19	21
在英国、爱尔兰、新西兰和澳大利亚“葡萄干”一词是指深色的干大葡萄“sultana”是指金色的干葡萄“currant”是指黑色的干小科林斯无核葡萄	1	澳大利亚	12	16
这项工作是由瑞典国家广播电台的广播戏剧部Sveriges Radio Radio Teatern委托完成的	1	瑞典	6	8
整个计划还显示需要一小批机车来维持伦敦（滑铁卢）和南安普敦码头未电气化区域之间的连接服务以供海上客运班轮运输	1	南安普敦码头	25	31
未来部队战士是美国军事先进技术示范项目是未来作战系统项目的一部分	1	美国	7	9
Malków是波兰中部奥波茨诺县内GminaŻarnów行政区的一个村庄	1	奥波茨诺县	11	16
1944年3月他被派往伦敦负责欧洲剧院的神经外科手术	1	伦敦	11	13
苏里南正式的苏里南共和国是南美洲北部的一个国家	1	苏里南	0	3
皮科的作品被广泛展出：格鲁吉亚、奥地利、德国、法国、英国、意大利、俄罗斯、希腊、南斯拉夫、瑞典等	1	希腊	37	39
他在新西兰电视台首次以演员兼作家的身份出演了一周的讽刺小品秀之后他继续与该剧的明星大卫·麦克菲尔和乔恩·盖茨比在《麦克菲尔和盖茨比》中合作后来在《致布兰奇的信》中与麦克菲尔单独合作	1	新西兰	2	5
该地区因其果园、葡萄园、酒厂和餐厅而闻名于加拿大以当地农产品和葡萄酒为特色	1	加拿大	21	24
她在斯图加特、法兰克福和瑞士的首次演唱会上亮相1867年她在莱比锡格温德豪斯演奏了李斯特的钢琴曲赢得了赞誉	1	法兰克福	7	11
其余的五艘军舰被转移到黑山进入新的南斯拉夫联盟海军服役其中三艘于2000年初退役	1	黑山	11	13
它于1977年9月25日至10月2日在芬兰的几个城市举办最后一轮在坦佩雷举行	1	坦佩雷	33	36
当SR338从山顶向下行驶时它从西面的惠灵顿山和东面的松林山之间穿过	1	惠灵顿山	19	23
在犹太大起义围困耶路撒冷期间他主张和平；据《塔木德报》报道当他发现被围困民众的愤怒无法忍受时他安排在棺材内秘密逃离该城以便与韦斯帕西安（当时他还只是一名军事指挥官）谈判	1	耶路撒冷	8	12
海希1872年6月10日出生于德国拉滕多夫加入海军陆战队后他作为一名士兵被派往中国参加义和团起义	1	中国	39	41
南部是霍姆斯山口山口之外是黎巴嫩山和反黎巴嫩山脉将叙利亚与黎巴嫩分隔开来	1	叙利亚	25	28
1967年8月13日一架RVAH12RA5CBuNo 151634在北越上空被击落	1	北越	34	36
安娜·安妮·摩尔（1874年4月24日至1924年12月6日）是1892年移居美国的爱尔兰移民	1	美国	39	41
埃及被视为起源地	1	埃及	0	2
他在加纳Glo超级联赛为自由职业队效力	1	加纳	2	4
它在36个月内建成占地37万平方米位于马德里和阿尔科本达斯之间的拉斯塔布拉斯	1	阿尔科本达斯	23	29
2001年由四名个人在挪威奥斯陆成立；Tor Erland Fyksen、Jan Grenth、Eirik Holtedahl和Raimond Pettersen已筹集了约	1	挪威	11	13
这种海洋物种出现在马斯卡林盆地和马达加斯加近海；远离斯里兰卡、菲律宾、南中国海、澳大利亚和斐济群岛	1	澳大利亚	40	44
在博茨瓦纳、刚果民主共和国、马拉维、莫桑比克、南非、斯威士兰、坦桑尼亚、赞比亚、津巴布韦可能还有莱索托也有发现	1	莱索托	48	51
20世纪70年代麦克唐纳曾担任加拿大驻斯里兰卡、美利坚合众国和黎巴嫩的高级贸易专员	1	加拿大	15	18
布里托在委内瑞拉加拉加斯出生和长大	1	委内瑞拉	4	8
全国进步党是纳米比亚的一个政党	1	纳米比亚	6	10
赫尔斯坦是瑞士巴塞尔州瓦尔登堡区的一个自治市	1	赫尔斯坦	0	4
鸟类的活动范围围绕着亚马逊河国家进入安第斯山麓和上游河流系统的较高海拔地区但不在亚马逊河流域中部或中部上游流域的亚马逊河沿岸；它位于巴西的河流出口处上游约500公里	1	亚马逊	10	13
该派对在伦敦一个艺术场所举行可容纳约300人由Ed Saperia资助Ed Saperia是一位非维基百科人士因在伦敦各地举办独家活动而享有盛誉	1	伦敦	4	6
1991年——在东帝汶帝力印度尼西亚军队向抗议占领东帝汶的学生示威者开火造成至少250人死亡	1	东帝汶	8	11
目前新南威尔士州、维多利亚州、昆士兰、南澳大利亚州和西澳大利亚州以及新西兰和新加坡共有14个展厅	1	新加坡	38	41
苏里南的巴西人组成了一个很大的社区主要由矿工组成	1	苏里南	0	3
《关于废除奴隶贸易的权力宣言》在维也纳签署	1	维也纳	16	19
在英国建立印度政权并于1904年与西藏签订和平条约之前尼泊尔被视为通往西藏与其他国家进行对外贸易的主要通道	1	西藏	17	19
他于1917年在罗马去世	1	罗马	8	10
第一次世界大战期间他于1914年11月17日至1915年7月17日在埃及服役于1915年7月18日至1915年9月9日在亚丁服役于1915年9月10日至1915年12月1日在埃及服役于1915年12月2日至1916年5月6日在美索不达米亚服役	1	埃及	34	36
岩石中的洞是美国西部犹他州南部格伦峡谷西缘的一条狭窄而陡峭的裂缝	1	犹他州	10	13
除通延高速公路外北京所有的高速公路都与五环路相连	1	北京	8	10
整个计划还显示需要一小批机车来维持伦敦（滑铁卢）和南安普敦码头未电气化区域之间的连接服务以供海上客运班轮运输	1	滑铁卢	20	23
1931年2月这对夫妇在肖勒姆机场建造了一架低翼单翼飞机并计划飞往弗里曼所在的印度	1	肖勒姆	12	15
斯梅拉尔达海岸拉力赛是在意大利撒丁岛沿海地区斯梅拉尔达海岸举行的拉力赛	1	撒丁岛	15	18
他于1639年7月抵达新阿姆斯特丹港	1	新阿姆斯特丹	11	17
作为维利安·瓦尔德马尔·阿加德和佛罗伦萨·阿加德（née Brooke）的儿子阿加德于1932年出生在诺里奇他的父亲在德国法西斯主义兴起时从丹麦移民到这里	1	丹麦	70	72
由于他在惠灵顿社区的显赫地位他决定投身当地政治	1	惠灵顿	4	7
里穆斯基铸币厂（法语：seigneurie de Rimouski）是法国殖民新法国期间的铸币厂	1	新法国	39	42
随着柏林的发展在接下来的几十年里栅栏和大门按照环境的要求移动	1	柏林	2	4
海地对圣多明各的占领始于她出生前两年她在海地的统治下长大	1	圣多明各	3	7
GardelRazzano二人组合的人气渐增曾在乌拉圭、巴西、智利和西班牙巡回演出直到1925年Razzano因喉咙问题离开演唱生涯	1	智利	31	33
Copperlode大坝或Lake Morris是一座淡水水库大坝服务于澳大利亚昆士兰凯恩斯市	1	昆士兰	40	43
他是伦敦和爱丁堡皇家医学院的院士	1	爱丁堡	5	8
钒铅矿最早于1801年在墨西哥发现此后在南美洲、欧洲、非洲和北美其他地区都发现了钒铅矿	1	非洲	27	29
自古以来在尼泊尔和西藏之间过境的商人、乞讨者和朝圣者就使用它	1	西藏	9	11
与此同时据估计全球海平面将上升888厘米澳大利亚的海岸线将遭受侵蚀和淹没	1	澳大利亚	20	24
据称苏里南是所有加共体国家中最大的巴西人社区	1	苏里南	2	5
它将取代埃拉特机场处理目前使用奥夫达机场的所有民用航班并作为以色列主要机场本古里安的中转机场	1	以色列	30	33
沙尔巴拉兹领导下的波斯军队占领了大马士革、阿帕梅亚和埃梅萨等城市	1	阿帕梅亚	21	25
结果是在伦敦一端有一辆高功率的4辆编组的动车组将拖车单元推到伯恩茅斯在那里拖车将被分离然后由一辆装有推拉装置的柴油电力机车拉到韦茅斯	1	韦茅斯	63	66
Maafushi是Kaafu环礁有人居住的岛屿之一也是马尔代夫MedhuUthuru省的拟议首都	1	Kaafu环礁	9	16
PearlDean现在归ImageLtd所有并控制着许多英国电影院网站包括领先的多元化运营商如帝国、Showcase、AMC代表着英国大约一半的独立电影院	1	英国	28	30
由于厌倦了法国和匈牙利之间的通勤又因缺乏选择而感到沮丧她决定从2003年1月开始为法国划界	1	法国	5	7
我住在芬兰凯努地区和帕尔塔莫市	1	帕尔塔莫	10	14
墨丘利和他们一起前往雅典打算把自己置身于这对脸红的新婚夫妇之间	1	雅典	10	12
他曾表示自己是印度人民党成员并始终坚持印度是世俗主义之地支持印度的民族精神	1	印度	7	9
2010年海地地震发生后联合国教科文组织的世界遗产计划正在帮助海地评估损失	1	海地	5	7
2007年中国长春亚运会女子滑雪板半管比赛于1月29日在北大湖滑雪场举行	1	中国	5	7
被禁止参观这两个街在彼得堡和莫斯科亚什维尔在他的庄园里强制退休几年	1	莫斯科	14	17
它的面积主要被伦敦的发展所吸收；其名称目前指的是鲁克斯利区	1	伦敦	7	9
它是厄瓜多尔特有的	1	厄瓜多尔	2	6
从Point Depot现场直播是该乐队在都柏林Point Depot举行的新年前夜广泛盗录演出的首次正式发布	1	都柏林	21	24
阿姆斯特朗访问了新墨西哥州乔治·奎因驾驶的第十八枚月球火箭正在安布罗斯·福瑟吉尔的监督下建造	1	新墨西哥州	8	13
结果是在伦敦一端有一辆高功率的4辆编组的动车组将拖车单元推到伯恩茅斯在那里拖车将被分离然后由一辆装有推拉装置的柴油电力机车拉到韦茅斯	1	伦敦	4	6
1998年8月6日澳大利亚高等法院对加西亚诉澳大利亚国家银行有限公司一案作出了重要判决	1	澳大利亚	9	13
这是最后一个赛季两个来自柏林的竞争对手足球协会将他们的冠军送去德国锦标赛两个俱乐部在赛季末合并	1	柏林	12	14
博士德卡普里莱斯出生于墨西哥13岁时来到美国不懂英语或击剑	1	美国	20	22
1641年爱尔兰叛乱爆发时理查森前往英国定居在伦敦并在那里去世	1	伦敦	23	25
1995年这座塔被列为法国官方历史遗迹之一	1	法国	11	13
他的父母卡齐米尔J威斯特和约瑟芬·威斯特于1894年从立陶宛移民到美国并于1907年在芝加哥结婚	1	芝加哥	43	46
叙利亚记录了大约3100种开花植物以及大约100种裸子植物	1	叙利亚	0	3
它是一个岛屿与澳大利亚大陆隔绝地理位置孤立是理想的刑罚殖民地木材丰富是皇家海军的有用资源	1	澳大利亚	7	11
巴基斯坦各地的许多人要求他们的同伴带着它因为它在巴基斯坦的任何其他地方都不普遍	1	巴基斯坦	0	4
乌干达的保护是保护和可持续利用该国丰富的自然资源	1	乌干达	0	3
肯德尔的无线电信息通知了伦敦警察厅Dew探长被派上速度更快的船“白星线”号的SS Laurentic号前往加拿大并在蒙特罗斯之前到达加拿大	1	加拿大	53	56
